GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1600000US4846824,4846824,"Mart city, Texas",T1_POP$1600000US4846824
1600000US4856696,4856696,"Penitas city, Texas",T1_POP$1600000US4856696
1600000US4865564,4865564,"San Leon CDP, Texas",T1_POP$1600000US4865564
1600000US4866128,4866128,"Schertz city, Texas",T1_POP$1600000US4866128
1600000US4867496,4867496,"Sherman city, Texas",T1_POP$1600000US4867496
1600000US4871324,4871324,"Sunset Valley city, Texas",T1_POP$1600000US4871324
1600000US4874144,4874144,"Tyler city, Texas",T1_POP$1600000US4874144
1600000US4876948,4876948,"Webster city, Texas",T1_POP$1600000US4876948
1600000US4879816,4879816,"Winnsboro city, Texas",T1_POP$1600000US4879816
1600000US4880836,4880836,"Zuehl CDP, Texas",T1_POP$1600000US4880836
1600000US5101000,5101000,"Alexandria city, Virginia",T1_POP$1600000US5101000
1600000US5114968,5114968,"Charlottesville city, Virginia",T1_POP$1600000US5114968
1600000US5124752,5124752,"Eastville town, Virginia",T1_POP$1600000US5124752
1600000US5135000,5135000,"Hampton city, Virginia",T1_POP$1600000US5135000
1600000US5145784,5145784,"Lincolnia CDP, Virginia",T1_POP$1600000US5145784
1600000US5156000,5156000,"Newport News city, Virginia",T1_POP$1600000US5156000
1600000US5180165,5180165,"University of Virginia CDP, Virginia",T1_POP$1600000US5180165
1600000US5186160,5186160,"Williamsburg city, Virginia",T1_POP$1600000US5186160
1600000US5456020,5456020,"Moundsville city, West Virginia",T1_POP$1600000US5456020
1600000US5473468,5473468,"Shepherdstown town, West Virginia",T1_POP$1600000US5473468
1600000US5522300,5522300,"Eau Claire city, Wisconsin",T1_POP$1600000US5522300
1600000US5567350,5567350,"Rice Lake city, Wisconsin",T1_POP$1600000US5567350
1600000US5588925,5588925,"Woodruff CDP, Wisconsin",T1_POP$1600000US5588925
